Dominik Meichtry, Switzerland,105.80
Jean Basson, South Africa,106.31
Brent Hayden, Canada,106.40
Michael Phelps, United States,106.48
Colin Russell, Canada,106.58
Park Tae-Hwan, South Korea,106.73
Danila Izotov, Russia,106.80
Yoshihiro Okumura, Japan,106.89
Emiliano Brembilla, Italy,107.04
Paul Biedermann, Germany,107.09
Ross Davenport, Great Britain,107.13
Peter Vanderkaay, United States,107.39
Amaury Leveaux, France,107.44
Nicholas Sprenger, Australia,107.64
Nimrod Shapira Bar-Or, Israel,107.78
Dominik Koll, Austria,107.81
Robbie Renwick, Great Britain,107.82
Rodrigo Castro, Brazil,107.87
Oussama Mellouli, Tunisia,107.97
Alexander Sukhorukov, Russia,107.97
Darian Townsend, South Africa,108.08
Kenrick Monk, Australia,108.17
Sergiy Advena, Ukraine,108.18
Sho Uchida, Japan,108.34
Romans Miloslavskis, Latvia,108.41
Shaune Fraser, Cayman Islands,108.60
Gard Kvale, Norway,108.73
Massimiliano Rosolino, Italy,108.76
Andreas Zisimos, Greece,108.82
Glenn Surgeloose, Belgium,108.92
Jon Raahauge Rud, Denmark,108.96
Ryan Pini, Papua New Guinea,109.04
Zhang Enjian, China,109.15
£ukasz G¹sior, Poland,109.25
Norbert Kovács, Hungary,109.34
Martín Kutscher, Uruguay,109.61
Dominik Straga, Croatia,109.63
Christoffer Wikström, Sweden,109.84
Tiago Venâncio, Portugal,110.24
Radovan Siljevski, Serbia,110.25
Bryan Tay, Singapore,110.41
Crox Acuna, Venezuela,110.52
Julio Galofre, Colombia,110.62
Daniel Bego, Malaysia,110.92
Vladimir Sidorkin, Estonia,111.27
Kvìtoslav Svoboda, Czech Republic,111.67
Saulius Binevièius, Lithuania,111.80
Virdhawal Khade, India,111.86
Raphael Stacchiotti, Luxembourg,112.01
Mario Montoya, Costa Rica,112.19
Mahrez Mebarek, Algeria,112.66
Artur Dilman, Kazakhstan,112.90
Irakli Revishvili, Georgia,113.60
Ibrahim Nazarov, Uzbekistan,116.27
Mihajlo Ristovski, Macedonia,117.45
Andrei Zaharov, Moldova,118.62
Emanuele Nicolini, San Marino,119.47
