Federica Pellegrini, Italy,117.16
Allison Schmitt, United States,117.33
Missy Franklin, United States,117.62
Veronika Popova, Russia,117.79
Melania Costa Schmid, Spain,117.79
Barbara Jardin, Canada,117.92
Sarah Sjöström, Sweden,118.03
Caitlin McClatchey, Great Britain,118.03
Samantha Cheverton, Canada,118.11
Bronte Barratt, Australia,118.12
Kylie Palmer, Australia,118.16
Camille Muffat, France,118.49
Silke Lippok, Germany,118.59
Wang Shijia, China,118.73
Hanae Ito, Japan,118.93
Sara Isakoviæ, Slovenia,118.96
Rebecca Turner, Great Britain,118.98
Ophélie-Cyrielle Etienne, France,119.15
Nina Rangelova, Bulgaria,119.21
Karin Prinsloo, South Africa,119.24
Song Wenyan, China,119.47
Ágnes Mutina, Hungary,119.56
Sze Hang Yu, Hong Kong,119.92
Pernille Blume, Denmark,120.91
Camelia Potec, Romania,121.15
Liliana Ibanez, Mexico,121.36
Anna Stylianou, Cyprus,121.87
Katarína Filová, Slovakia,122.03
Jördis Steinegger, Austria,122.39
Natthanan Junkrajang, Thailand,122.49
Danielle Villars, Switzerland,123.55
Hanna-Maria Seppälä, Finland,124.21
Baek Il-Joo, South Korea,124.32
Heather Arseth, Mauritius,127.81
