@relation 12168104L2_2

@attribute status_pozyczki {odmowa, splacona, windykacja, splacona_cz, windykacja_sp}
@attribute kwota_kredytu real
@attribute wiek real
@attribute płeć {kobieta, mężczyzna}
@attribute rodzaj_źródła_dochodu real
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie real
@attribute okres_w_jakim_pobierał_dochód real
@attribute okres_w_jakim_będzie_pobierał_dochód real
@attribute opóźnienie_spłaty real

@data
splacona_cz,200.0,73.0,kobieta,13.0,1412.0,0.0,197.0,48.0,0.0
splacona,200.0,40.0,mężczyzna,99.0,856.0,0.0,2.0,2.0,109.0
windykacja_sp,500.0,59.0,kobieta,12.0,1600.0,0.0,13.0,21.0,577.0
splacona,300.0,64.0,kobieta,13.0,1434.0,0.0,84.0,48.0,0.0
splacona_cz,700.0,32.0,mężczyzna,11.0,2050.0,0.0,111.0,48.0,1.0
splacona_cz,250.0,38.0,mężczyzna,12.0,1030.0,0.0,12.0,12.0,3.0
windykacja,1000.0,40.0,mężczyzna,11.0,1830.0,0.0,60.0,48.0,1826.0
splacona_cz,500.0,49.0,kobieta,11.0,1800.0,0.0,46.0,48.0,0.0
splacona_cz,993.23,35.0,kobieta,98.0,4000.0,0.0,11.0,48.0,2.0
splacona_cz,200.0,47.0,kobieta,11.0,770.0,0.0,96.0,48.0,0.0
splacona,1000.0,73.0,kobieta,13.0,2100.0,0.0,48.0,48.0,0.0
splacona_cz,500.0,55.0,mężczyzna,16.0,588.0,0.0,415.0,48.0,0.0
splacona_cz,200.0,57.0,kobieta,16.0,703.0,0.0,19.0,48.0,0.0
windykacja_sp,500.0,45.0,mężczyzna,11.0,2500.0,0.0,258.0,48.0,577.0
splacona_cz,700.0,58.0,kobieta,13.0,1872.0,0.0,28.0,48.0,0.0
splacona_cz,300.0,49.0,mężczyzna,13.0,3900.0,0.0,23.0,48.0,0.0
splacona_cz,800.0,55.0,kobieta,13.0,3440.0,0.0,44.0,48.0,0.0
splacona_cz,500.0,62.0,kobieta,13.0,1525.46,0.0,29.0,48.0,0.0
splacona_cz,1000.0,48.0,kobieta,12.0,2127.68,0.0,6.0,16.0,13.0
windykacja,700.0,31.0,mężczyzna,99.0,1700.0,0.0,26.0,26.0,1825.0
splacona_cz,600.0,58.0,mężczyzna,11.0,1510.0,0.0,159.0,48.0,3.0
windykacja,700.0,25.0,mężczyzna,12.0,2300.0,0.0,14.0,26.0,1825.0
splacona_cz,200.0,66.0,kobieta,13.0,910.0,0.0,62.0,48.0,1.0
splacona_cz,200.0,24.0,mężczyzna,12.0,1000.0,0.0,5.0,24.0,0.0
splacona_cz,400.0,25.0,kobieta,17.0,1200.0,0.0,158.0,48.0,0.0
splacona_cz,500.0,80.0,kobieta,13.0,2000.0,0.0,228.0,48.0,9.0
splacona_cz,400.0,52.0,kobieta,12.0,1040.0,0.0,10.0,19.0,2.0
splacona_cz,200.0,57.0,mężczyzna,13.0,440.0,0.0,64.0,48.0,1.0
splacona,400.0,60.0,kobieta,13.0,1351.0,0.0,72.0,48.0,3.0
splacona_cz,300.0,62.0,kobieta,13.0,1130.0,0.0,96.0,48.0,0.0
splacona_cz,600.0,54.0,kobieta,12.0,1675.0,0.0,2.0,11.0,4.0
windykacja,300.0,36.0,mężczyzna,98.0,1870.0,0.0,4.0,48.0,1823.0
splacona_cz,400.0,54.0,kobieta,12.0,1700.0,0.0,48.0,48.0,0.0
splacona_cz,200.0,78.0,kobieta,13.0,736.0,0.0,60.0,48.0,0.0
splacona_cz,300.0,60.0,kobieta,13.0,790.0,0.0,62.0,48.0,2.0
splacona_cz,1500.0,48.0,mężczyzna,11.0,2353.0,0.0,92.0,48.0,3.0
splacona,400.0,52.0,mężczyzna,11.0,3200.0,0.0,182.0,48.0,0.0
splacona,300.0,57.0,kobieta,16.0,1400.0,0.0,23.0,48.0,212.0
splacona_cz,400.0,68.0,kobieta,13.0,1017.0,0.0,154.0,48.0,0.0
splacona_cz,200.0,52.0,kobieta,12.0,1000.0,0.0,24.0,48.0,0.0
splacona,500.0,76.0,mężczyzna,13.0,1900.0,0.0,168.0,48.0,6.0
splacona_cz,500.0,55.0,kobieta,13.0,841.17,0.0,12.0,48.0,0.0
splacona_cz,800.0,28.0,mężczyzna,12.0,1800.0,0.0,20.0,22.0,10.0
windykacja,500.0,22.0,kobieta,11.0,1600.0,0.0,1.0,48.0,1821.0
splacona_cz,300.0,50.0,kobieta,12.0,1000.0,0.0,25.0,29.0,0.0
splacona_cz,600.0,51.0,kobieta,11.0,3200.0,0.0,47.0,48.0,1.0
splacona_cz,500.0,76.0,kobieta,13.0,1377.23,0.0,250.0,48.0,25.0
splacona_cz,200.0,31.0,kobieta,12.0,980.0,0.0,3.0,5.0,1.0
splacona_cz,400.0,42.0,mężczyzna,11.0,3500.0,0.0,21.0,48.0,0.0
windykacja,400.0,74.0,mężczyzna,13.0,905.48,0.0,20.0,48.0,1820.0
splacona,300.0,65.0,mężczyzna,12.0,1100.0,0.0,15.0,35.0,13.0
odmowa,200.0,44.0,mężczyzna,17.0,498.6,0.0,12.0,26.0,0.0
splacona_cz,800.0,74.0,mężczyzna,13.0,2712.0,0.0,336.0,48.0,1.0
splacona_cz,500.0,51.0,mężczyzna,12.0,2673.17,0.0,105.0,48.0,0.0
splacona_cz,700.0,48.0,kobieta,12.0,1500.0,0.0,7.0,26.0,8.0
windykacja_sp,600.0,50.0,mężczyzna,11.0,1800.0,0.0,4.0,48.0,582.0
splacona_cz,600.0,61.0,kobieta,13.0,1050.0,0.0,132.0,48.0,0.0
splacona_cz,200.0,70.0,kobieta,13.0,729.03,0.0,250.0,48.0,0.0
splacona_cz,300.0,59.0,kobieta,13.0,1400.0,0.0,47.0,48.0,0.0
splacona,400.0,29.0,mężczyzna,17.0,1367.55,0.0,134.0,48.0,234.0
windykacja_sp,300.0,21.0,mężczyzna,12.0,789.0,0.0,19.0,24.0,460.0
odmowa,200.0,55.0,mężczyzna,13.0,1913.65,0.0,94.0,48.0,0.0
splacona_cz,800.0,38.0,mężczyzna,11.0,2150.0,0.0,47.0,48.0,0.0
splacona_cz,300.0,59.0,mężczyzna,16.0,726.0,0.0,226.0,48.0,0.0
splacona_cz,600.0,61.0,mężczyzna,13.0,1500.0,0.0,16.0,48.0,0.0
splacona,500.0,43.0,mężczyzna,11.0,3050.0,0.0,249.0,48.0,174.0
splacona,500.0,57.0,mężczyzna,11.0,1500.0,0.0,260.0,48.0,236.0
splacona_cz,800.0,59.0,kobieta,13.0,1370.0,0.0,69.0,48.0,0.0
