@relation 12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3

@attribute status_pozyczki {zly,dobry}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
dobry,200,73,kobieta,13,1412,0,197,48,0
dobry,200,40,mężczyzna,99,856,0,2,2,109
zly,500,59,kobieta,12,1600,0,13,21,577
dobry,300,64,kobieta,13,1434,0,84,48,0
dobry,700,32,mężczyzna,11,2050,0,111,48,1
dobry,250,38,mężczyzna,12,1030,0,12,12,3
zly,1000,40,mężczyzna,11,1830,0,60,48,1826
dobry,500,49,kobieta,11,1800,0,46,48,0
dobry,993.23,35,kobieta,98,4000,0,11,48,2
dobry,200,47,kobieta,11,770,0,96,48,0
dobry,1000,73,kobieta,13,2100,0,48,48,0
dobry,500,55,mężczyzna,16,588,0,415,48,0
dobry,200,57,kobieta,16,703,0,19,48,0
zly,500,45,mężczyzna,11,2500,0,258,48,577
dobry,700,58,kobieta,13,1872,0,28,48,0
dobry,300,49,mężczyzna,13,3900,0,23,48,0
dobry,800,55,kobieta,13,3440,0,44,48,0
dobry,500,62,kobieta,13,1525.46,0,29,48,0
dobry,1000,48,kobieta,12,2127.68,0,6,16,13
zly,700,31,mężczyzna,99,1700,0,26,26,1825
dobry,600,58,mężczyzna,11,1510,0,159,48,3
zly,700,25,mężczyzna,12,2300,0,14,26,1825
dobry,200,66,kobieta,13,910,0,62,48,1
dobry,200,24,mężczyzna,12,1000,0,5,24,0
dobry,400,25,kobieta,17,1200,0,158,48,0
dobry,500,80,kobieta,13,2000,0,228,48,9
dobry,400,52,kobieta,12,1040,0,10,19,2
dobry,200,57,mężczyzna,13,440,0,64,48,1
dobry,400,60,kobieta,13,1351,0,72,48,3
dobry,300,62,kobieta,13,1130,0,96,48,0
dobry,600,54,kobieta,12,1675,0,2,11,4
zly,300,36,mężczyzna,98,1870,0,4,48,1823
dobry,400,54,kobieta,12,1700,0,48,48,0
dobry,200,78,kobieta,13,736,0,60,48,0
dobry,300,60,kobieta,13,790,0,62,48,2
dobry,1500,48,mężczyzna,11,2353,0,92,48,3
dobry,400,52,mężczyzna,11,3200,0,182,48,0
dobry,300,57,kobieta,16,1400,0,23,48,212
dobry,400,68,kobieta,13,1017,0,154,48,0
dobry,200,52,kobieta,12,1000,0,24,48,0
dobry,500,76,mężczyzna,13,1900,0,168,48,6
dobry,500,55,kobieta,13,841.17,0,12,48,0
dobry,800,28,mężczyzna,12,1800,0,20,22,10
zly,500,22,kobieta,11,1600,0,1,48,1821
dobry,300,50,kobieta,12,1000,0,25,29,0
dobry,600,51,kobieta,11,3200,0,47,48,1
dobry,500,76,kobieta,13,1377.23,0,250,48,25
dobry,200,31,kobieta,12,980,0,3,5,1
dobry,400,42,mężczyzna,11,3500,0,21,48,0
zly,400,74,mężczyzna,13,905.48,0,20,48,1820
dobry,300,65,mężczyzna,12,1100,0,15,35,13
zly,200,44,mężczyzna,17,498.6,0,12,26,0
dobry,800,74,mężczyzna,13,2712,0,336,48,1
dobry,500,51,mężczyzna,12,2673.17,0,105,48,0
dobry,700,48,kobieta,12,1500,0,7,26,8
